1_ae-12a_000020-000053	0_4d3528bc8e13d3761e75401cf28cc699
1_in-1a_000021-000056	1_89b19e00e177a8386536c7731112f3ee
1_in-1b_000020-000057	1_8a2b44efaf27b20429cab98548c19f37
1_in-3782136a_000147-000184	1_8ae7313ed827ef522b724de5eaa24432
1_in-541za_000092-000126	1_0ed8e7ea1fb4549c0f87cb192b3ee2f4
1_in-711a_000074-000099	1_0ef41241519cb524919ee3563c419b99
1_in-711a_000098-000131	1_8b84c1933d9fbe2a3b6a9e14bea8f0e9
1_in-717a_000059-000081	1_0ef8a22b48074cb887089aae8f02d793
1_in-81231a_000046-000078	1_0efcce8afb3b82325f4bcd1fc3cef82b
1_in-81231a_000133-000174	1_8c158ef4e52477de14280b6503c6840d
1_in-8953148a_000154-000184	1_45ee004a128b7579bf2c479771a928da
1_in-o5912a_000179-000207	1_0f0674ba41b01ff6ec3f213758624616
1_in-o819oa_000081-000124	1_0f30cd89989b521302a65dab53055b1b
1_in-z1518a_000065-000095	1_0f4a4b13c58ba54ea22affbb5ca14bf6
1_in-z1518a_000130-000160	1_0f5fbae2803e75285e479f38c1d7191a
1_in-z916141a_000107-000148	1_8d618ea26c9f1d9e3fa6cd94acd24f0d
1_in-z916141a_000195-000219	1_0f783cc58b0f4817f2bedb49b23b3421
1_in-z916141a_000246-000283	1_8d759f065e06db32ffd6c9efa2396b1e
1_it-11a_000019-000043	1_467482eed88ccf6f51ac5bce293368f8
1_it-11a_000042-000077	1_8df5e0ee67554cace96d10cd0467a4bf
1_it-1348z16a_000010-000030	1_467b6eecdc5bf3763806517edee786d3
1_it-1348z16a_000148-000167	1_8eb449631fbb75dbd1a6b333e3328bc0
1_it-176a_000018-000038	1_46e35338109512ab6f821089d7ebb578
1_it-17z62a_000015-000035	2_f0316e50b4c45fd16cf889ac89efa974
1_it-1a_000018-000050	1_1bb0f6d91e92172b2316afc50c494002
1_it-1b_000020-000053	1_8f6ce0199f28a82ba01c4a877c2e48bd
1_it-1o2ooa_000020-000043	1_62616e12d47d13b68db3d50850d473ce
1_it-23391a_000114-000148	1_8ff1614cb6a54a3460505630c7fe6d8b
1_it-561848oa_000063-000097	1_0f8e8fbe44d616328887cb993b76118d
1_it-61966z7a_000053-000071	0_034251d603d2396a2b90d84a3e5e75af
1_it-6o79714a_000183-000202	1_90680201b1df96696b59080940499e34
1_it-7314a_000075-000100	2_3d62a75078f7651cbb17c93bcbe975bd
1_it-7z36815a_000189-000213	1_918e7aef079208b32c1faab966a17641
1_it-9373126a_000129-000152	1_91cacf0cb9f04a62898e657809f8743c
1_it-941a_000075-000115	1_9582e43b75787f39968d14d724de48b5
1_it-z163z4za_000046-000068	0_039444361626987033f07b977d41ba01
1_it-z7134a_000069-000089	1_95c0ae30ac535e5f2a43514a0299b0be
1_it-z81zza_000056-000085	0_03542fd2a552c4f5085e0b306d362064
1_it-zz43215a_000158-000182	1_96ad103db80d72764cf0b4cde6919106
1_jc-1155a_000021-000055	1_4745025f89a33bf6cf558ce04e4282e5
1_jc-1155a_000054-000095	1_993c193d3632ba69428d96c90689f5d5
1_jc-12936a_000019-000051	1_4787927bfafed9b5db882711642fe649
1_jc-16a_000019-000046	1_47e70e6a3207efbeeb02b1896a108e57
1_jc-17z3za_000019-000046	1_47f36f70a5e7b7bd803f0ec551ffcb37
1_jc-1a_000021-000069	1_9978ea4bfbdddcea5350419280a3e49d
1_jc-1b_000020-000067	1_9a6ef720f9a6a4d16ba0a44e6a1c973b
1_jc-1za_000021-000056	1_47fee534f7d26a0e4718628d3e19878a
1_jc-2148a_000045-000083	1_9a962490921d086df2a6ed569a403f80
1_jc-2153a_000056-000094	1_9cbbf46795b1c14beed6c1ded99dc7ff
1_jc-313z1a_000046-000079	1_9cc1387972870b64261edf1813977550
1_jc-313z1a_000178-000223	1_9cde267006e6cf6d9c7e9edccfab9a2e
1_jc-41237a_000045-000079	1_9cea067268eb82bbfde9b9c31ad34ead
1_jc-4691196a_000151-000180	1_487900e6104b2661c8f683ef1a0ab7d7
1_jc-4691196a_000179-000224	1_0f911b4f086af8347e0582d943d276af
1_jc-72z16a_000169-000205	1_9d585bbb3265ae5b11eafeecc65c5891
1_jc-91zz237a_000053-000088	1_48ad476b9da8e1b1b0c09a26cdca6ef6
1_jc-9751956a_000169-000200	1_48e0e1c3b501ab4978bf53bdb7ba68b1
1_jc-9827717a_000238-000272	1_493294206571c5106466bee22ba47ec4
1_jc-99oo1a_000148-000201	1_9dcea13c684b4ff6353bcc2b899466c0
1_jc-o1o93a_000056-000092	1_493d82f1131382b63e2c81535907a65e
1_jc-o5o6146a_000218-000260	1_49512d06f02fd8e7a57fee7946eb57bb
1_jc-z9z7818a_000309-000343	1_4987e0ade5ebd4c9395e36561033b44b
1_jj-12a_000044-000086	1_49a360ab563b8b7cdaba11785f40ff1e
1_jj-1434728a_000047-000083	1_49e93e5621c9e07ba2efb7607442c1ac
1_jj-1732a_000019-000044	1_4a18a9dfe3fc84435de3b0b9b262fbd8
1_jj-1a_000020-000059	1_4a3831f20a4a7d16a25af0f1ef2bf6cd
1_jj-1b_000020-000064	1_4a4e575dcac3a920f10293d885763bd9
1_jj-1o638a_000040-000077	1_9e74338ca98c3b32d2833dea6ce15761
1_jj-1za_000020-000063	1_4a631ef0c19e186e0104ccfc4a577a5d
1_jj-31z6657a_000051-000086	1_4ac85ba42cd7191dc6f94195dd3d1b97
1_jj-382o612a_000235-000265	1_4acb801f2235317a93c78761dddef09e
1_jj-391a_000107-000156	1_4b5b17f1bb3785ec9dab529d6eaa76be
1_jj-48o17a_000147-000181	1_4b8dbe91e2b2bd887bd97c8a1b75f16c
1_jj-51a_000056-000099	1_9ebebff320aaddf38fb281e9e16ded75
1_jj-5651891a_000147-000185	1_4ba2c26fe3d8ce55ef70d3c6470beaf7
1_jj-5651891a_000282-000331	1_4bb5e32258dfc9da266b2c0d1a3b8812
1_jj-619zzz7a_000095-000124	1_4bed3078411f286f0bae2ed5ace61189
1_jj-631a_000117-000164	1_0f972a8314d61fc42b1b8a4fedd6e35a
1_jj-6736411a_000266-000307	1_4c671123794b4670e79e2f22b6cf8bd3
1_jj-6736411a_000310-000349	1_a01e37e407430c6b75597bacd06160fc
1_jj-713za_000073-000107	1_0fca655fdb92e855d64c01e2e8237a42
1_jj-755z1a_000183-000221	1_4c72330133960e395dae6301d3c561fa
1_jj-97o5215a_000188-000224	1_4cea20caa7f764a266b35dc095cdcd8c
1_jj-o16oa_000050-000082	1_4d0e08cd5fe1d3fb6cdd606f1c54c445
1_jj-o3o4818a_000246-000280	1_4d14f813ca2a4820c2c99a95151c4c59
1_jj-o871a_000143-000184	1_a05f7c51b76bee691e2297ffaa7c47d7
1_jj-z149a_000070-000103	1_1cf6bdab10d932814f54d345b93c9606
1_jn-121a_000039-000062	1_4d1dd689bf8c21ae9b3b58592e3ac925
1_jn-121a_000077-000122	1_a0f3ab1b7ea084814e1c235a8ffb93c7
1_jn-19za_000020-000040	1_4d25232573a1833aa2ca6b68dd00ef5a
1_jn-1a_000036-000078	1_a0fa03101c8fd490c176f74741954ef0
1_jn-1b_000033-000076	1_a11f1d84499b93e1fd8a5b5955194663
1_jn-1o881a_000019-000046	1_4d627197d18bfbd2c243b1fca98fa7ed
1_jn-1o881a_000102-000145	1_a1d3caafefe5e86f0917cd00598117b9
1_jn-1z4z2a_000019-000043	1_4db1913598ad600a01f6ef9bdb7bd9ca
1_jn-1zz6617a_000019-000044	1_4de030ef308fcfb7067d7e6240cccbed
1_jn-1zz6617a_000161-000183	1_0fcd5f1641f62a8e5a5fb76cc9d69d70
1_jn-27631a_000115-000157	1_a23a03f08e694fc00d3680153b08d803
1_jn-29391a_000117-000158	1_4de2345bc1712c3682a6f2e1e8fa07a2
1_jn-3318a_000060-000081	1_a331d2bd767f03fd2e92f3f1b91772d1
1_jn-416a_000037-000058	1_0fd28443cc24bf81457a5cda6ce73f68
1_jn-42151a_000061-000089	1_a37026e5324c841c40ea112b4552117f
1_jn-42151a_000112-000152	1_a42e0e8250040cf77ddec426c42de69d
1_jn-853z1a_000159-000197	1_a472049a143cffef207c07dda05a170d
1_jn-o393o91a_000199-000235	1_a4b7ec6373da412009ef89f6cb604fa3
1_jn-o75135oa_000102-000125	1_0fd4f5ccb24dbf3954862729b081f4f8
1_jn-oo19oa_000068-000095	1_4e4c257048349daaec0edc52ad94a296
1_jn-z1a_000065-000106	1_a4df9a24f4321afd5282ff6edec9a62e
1_jp-1199a_000037-000071	1_4e6600c0ce310522f533ea413c227b49
1_jp-1199a_000070-000103	1_4e6877874a62a64e796d50079d48214f
1_jp-13a_000019-000054	1_4ec8842455eb1d434caca2b0d59ef938
1_jp-149z5a_000019-000049	1_4ee4a87b064b1f37e0ea762a947d5b2d
1_jp-15a_000040-000077	1_4ef2dcc9a25dc69fd4bf49ce2cf72b66
1_jp-1739852a_000020-000049	1_4f0919b701eaebaa84141da6d8cc0a74
1_jp-1a_000019-000068	1_4f09935b67216f85eedd5359d633f4a4
1_jp-1b_000022-000068	1_4f14aa517a0b281f5b3b8e98a2a7da6d
1_jp-36o6o31a_000270-000313	1_a52738128b0531980fa63b1fa0a44e69
1_jp-41o71a_000078-000117	1_a52f1bc0529acfd9e12c0e21b3029170
1_jp-41o71a_000190-000236	1_4f1a1dbaab562eabd670785541c0202e
1_jp-51a_000095-000142	1_4fe7ceb0469ca74c38ed56368313181f
1_jp-6423219a_000204-000237	1_a5a50ae7230121402f20a425217b3a5e
1_jp-682o1a_000166-000211	1_509175747377db24d5a304abfcef5464
1_jp-7112691a_000075-000108	1_a75e6cd2565c0fd18456e1bd23709d11
1_jp-7112691a_000107-000153	1_509697c39a35ba486cbf8a91c17a15cc
1_jp-7112691a_000257-000293	1_a77f13dafdf230292e54e82d9bfba5c7
1_jp-79z18a_000140-000173	1_a7eda73fa365d1ffd0a64845f291cb19
1_jp-81za_000055-000094	1_50e4da84b8dac2a01d4f3ba5f759166e
1_jp-91a_000078-000118	1_a8d3a4377afbf2a9edd27ff6e145b7ca
1_jp-961o4a_000111-000145	1_515b776c7914022bbb91e089d20994ea
1_jp-o13o7ooa_000074-000115	1_aa1ef41f093c08037f449f7a03959c7b
1_jp-oo215a_000122-000159	1_628f35f6d9ebbf01786335c5b93314af
1_jp-z731437a_000147-000181	1_51aa0fc73c97c1a0a670ecda9d35d2a7
1_jr-159818oa_000020-000040	1_51adb370159bde10df6e494a526c2f2f
1_jr-159818oa_000155-000183	1_63055b3c09e193aadd77a606576eb8bf
1_jr-15ooa_000039-000065	1_1d09494d51075071987efddfbda3a240
1_jr-17a_000037-000066	1_0fd681b086946e8920e0dd4146abf40d
1_jr-1891a_000041-000064	1_51b6c19a0291c425345a47c7b3513e39
1_jr-1891a_000112-000149	1_63f0bef58c28f64a7850b0b4dcf11fa5
1_jr-1a_000020-000058	1_aad34d8f99dcd746795c46926efdacc7
1_jr-1b_000035-000075	4_3d3fb4481b67fe55cb2fe35a56236d2a
1_jr-1z293a_000019-000045	1_51bd11f6c27d43c8957af45b6ce469c9
1_jr-2195a_000034-000063	1_51d2a90b74fe71a8f5a2568d2863e40f
1_jr-21a_000037-000079	1_6516dabba95dd0c8d4e9bfd0bb6c345e
1_jr-27o7111a_000144-000169	1_65e7e99f09c1a6b456f7fbf4ccff2abe
1_jr-27o7111a_000168-000191	1_0fd8c3cfc73f72eb83f1ff50e1c2784c
1_jr-27o7111a_000190-000222	1_abe7d38fea6368324ccc7814e8f7c6bc
1_jr-4zz4441a_000202-000235	1_664322a4b15749662f3c4e42e9cecd08
1_jr-51oa_000047-000070	1_669fe0982cd00d69d2fef0493e375841
1_jr-5z31a_000139-000174	1_520b0ea0b6a4f031d830adee16b824c0
1_jr-61393a_000056-000082	1_ad1175c1ab1c5e4ca4648866088acf36
1_jr-78z1368a_000112-000144	1_0fdb78588db3efe521bc8c366e0e9981
1_jr-8169976a_000039-000065	1_670565416dccf0d22f72b78b82376532
1_jr-o125a_000039-000065	1_1f4837fb5af8229d019af367e2020fac
1_jr-o4919a_000098-000126	1_671c4cfc612fff45267a1836d06b634a
1_jr-oo73412a_000168-000197	1_1f7a2c53c81a53733283c2232f045311
1_jr-zz614a_000130-000158	1_0fdca4b3b26943625023bad4f590a2ca
1_jr-zzz16a_000145-000175	1_0fe052f01df1876af11e55de0c41c45b
1_jt-132519oa_000019-000045	1_52a92a57d594de7a0132ec3f7879ef42
1_jt-132519oa_000156-000190	1_52daaf4c7c31af0f371329b86bba8de8
1_jt-1337a_000019-000046	1_530b85acb91ac49bee3967d65528fb31
1_jt-15954a_000019-000050	1_533a32b38c610422fd776db6f2a944ee
1_jt-18a_000020-000050	1_53402440551e1b3fed3468fba0903bf3
1_jt-191za_000023-000049	1_53b6cea4a754ab8fac600cf8be012f0b
1_jt-191za_000077-000113	1_0ff01ace718321be0b4ccf4d592de7a2
1_jt-1a_000019-000055	1_10136d47df27f2063de9853a076da304
1_jt-1b_000020-000058	1_101fa4d814f843d4c7f88e0f14874b16
1_jt-2417a_000069-000101	1_104273d0b6d9572bda3d510c1e2445d6
1_jt-2z11455a_000087-000123	1_671fa5bcf67aaaff694dbd8ed958c9df
1_jt-2z11455a_000122-000168	1_1048903dcbf9bf7922bebb8b92840326
1_jt-3981a_000124-000165	1_104e21adb5c5a93e0957784b0639b0e9
1_jt-51o6272a_000056-000088	1_53be2b622947aad04ffbfeb26a7b7273
1_jt-65z39z1a_000242-000276	1_105343fc76a315eb238dc1d7e4372131
1_jt-7o317a_000108-000141	1_10670075723fc3f064422d7e20fd37eb
1_jt-84z3122a_000154-000191	1_1082e5d1cecab8405e5d2bb36ea3ccbd
1_jt-o14a_000050-000097	1_6768bbb7302c073b7727ecfcbd3adbc8
1_jt-o529716a_000194-000230	1_1096e592ac5d62a8973aaeac1cf0cdde
1_jt-o921235a_000120-000162	1_53d2b2a3a42b40d9e2b83c138024f688
1_kc-12134a_000051-000089	1_5440f03fcc4ca02ffdeefc4791bb5522
1_kc-12134a_000108-000172	1_ad76a7839fb5cf6f85d0ecbd599f2d4a
1_kc-13583a_000049-000084	1_adab124975210b8ca82e19dd71cb65db
1_kc-1617a_000047-000077	1_b225671bd15b9e69039de415c5dedc75
1_kc-1617a_000113-000141	1_54512dd8014e8413b9db68cb05b87271
1_kc-1a_000048-000100	1_5456573e893c0ea41c9e315e5b91a027
1_kc-1b_000047-000100	1_b2a4826127c8073a545baf47de0191c4
1_kc-1o546a_000045-000084	1_54de10e0c4a00edd025b65be51f9d4c5
1_kc-1z2a_000055-000098	1_b312d9d0120f5e514c35491d61ca6124
1_kc-215z4a_000042-000079	1_67bac83bb9fbece39c7607afb8f3204c
1_kc-32641a_000231-000274	1_b333538ea7359593337af8838c0bda96
1_kc-419zz2za_000094-000132	1_b44e963054875aebdf62ca3c7e688f14
1_kc-43183a_000132-000168	1_54f18abcded7b6fdfbb3130096475a82
1_kc-43311a_000187-000222	1_552fcb326e5835c6094942f60f451342
1_kc-43311a_000221-000255	1_b4bd81d559d79c29513e388863077f18
1_kc-4o15a_000122-000163	1_1fb4c1dce5430bf1fc4e018c41bfa9bb
1_kc-5142z89a_000104-000134	4_3eb570d42016f72b5ed515846887eee6
1_kc-51a_000084-000139	1_553842a606a264e4de6e1a03f09e25f4
1_kc-6575391a_000288-000331	1_b550a3f5532e5241e82de19ebbc0a35f
1_kc-7z19a_000132-000166	1_10b60332db136c43de3c24d93a997587
1_kc-81a_000097-000136	1_10d3d18e2ccc5408f66a9d067a80038f
1_kc-o88o145a_000192-000224	1_10e9b17faf0f5ebb4a9a19de4b891e0a
1_kc-o9716o2a_000191-000224	1_b56c465d6dca844b1c53917f96a918fa
1_kc-z617a_000137-000169	1_b658873a255ef39bff0fc82583d35ae1
1_kc-z6z1a_000174-000220	1_b6a1b20c9a0237323ab29ed86f14e359
1_kd-124a_000012-000044	1_68a126b76acbb82422f8c8f4b246f4fc
1_kd-13749a_000019-000051	1_55424f68cda5cf27a901f0ad4bd12bf2
1_kd-15a_000019-000052	1_55c7d376ff34fd306167be7aa1797f44
1_kd-1744a_000014-000039	3_115c489ae2b229ecb045485c1af9d63f
1_kd-1a_000020-000062	1_210fa694c027d2a38e8d40f3c0c1abe0
1_kd-1b_000020-000064	1_217c4914f14fb5211a101eed02de70e1
1_kd-1z6a_000021-000066	3_11c606586c27814c701c81affef7e111
1_kd-27o1a_000118-000164	1_68ba402aba301ea4fae16e071b6c2a5a
1_kd-34187a_000078-000133	1_696d44942f3f44a2850189d767df0c84
1_kd-41z5a_000061-000095	1_6abd8ac9aaea5eb29ab82405ed770851
1_kd-4z1z2a_000090-000145	1_6bf65a6e8fc67e5457ec237e01a080dd
1_kd-519a_000047-000072	1_10f5a428e09838ba4e11bb6f2edeeadc
1_kd-5286158a_000192-000230	1_b6d969095cdadc21443f07ed3cfd253c
1_kd-56521a_000173-000226	1_55eb44d82cc70c76fc2ec6e21b6302d4
1_kd-618589za_000056-000080	1_6bfad0baef8743ed839bc929f9d1c544
1_kd-724oo12a_000238-000271	1_22c2e7d315b811e02f6399c153467dfc
1_kd-78143a_000102-000149	1_b6f9ec0ea731e8c64b6f114b07a41f9f
1_kd-9214a_000105-000135	1_6cc2f91c3ddda56fa55307074e83d890
1_kd-o3971ooa_000171-000221	1_233d7c64a1466a737ca261353399041d
1_kd-z1666z7a_000062-000090	1_b6fa51eb0d0571e8a7fc9da1bcd34779
1_kf-122a_000020-000050	1_560e18fc1c5f1c7e216af1a2a5aa4dd0
1_kf-13114a_000021-000052	1_56340cc8b1fb8f641fbfa06fa6111864
1_kf-13114a_000093-000136	1_5638549a543b371f8f273cb819aa9491
1_kf-13114a_000135-000165	1_b75a64217563c75dab01eea3a4dccbfe
1_kf-153z664a_000021-000050	1_56604bfed9a28299588b1c94c965f27c
1_kf-1612848a_000020-000045	1_567317741da860dc0191deded127b666
1_kf-1612848a_000080-000119	1_5677a21bb442c38e60dae8945a54fcfb
1_kf-18963a_000033-000062	1_570bd061a139aaa0d27348b09c3cc4c8
1_kf-1a_000031-000084	1_5722a9a53e5ad8e3a7581e27d0d65937
1_kf-1b_000020-000069	1_5775ba520eb78a9ee5d6cafd29f03f03
1_kf-21438a_000053-000080	1_11125823f0c42c96167472613e3741cf
1_kf-21zza_000053-000087	1_1144273c3d64f02bce4a6bc8dd1c2256
1_kf-2471a_000180-000229	1_5784cfd6d7f256f050145ed61f68bcfa
1_kf-51oa_000085-000122	1_6ccc51e7cbd8eadc746d90b96decb7dd
1_kf-8118224a_000041-000075	1_1158321f1cab863c99a92b16af0b9733
1_kf-8118224a_000074-000107	1_1169bbb54133e6a6632c16c1f67b0a21
1_kf-8z83316a_000186-000219	1_57a83ce000407f0a9349b44c37eac4e2
1_kf-98o1a_000119-000169	1_57cf42512aa1f7c25037f6f804cedced
1_kf-o997441a_000248-000293	1_b84d4b1499d8909c4a4ebfd7cc68f4a0
1_kf-z155a_000083-000119	1_57f7c4e052da692eb435a58def85a06b
1_kf-z17z4a_000066-000098	1_584b4a0c9f466965d67c540d4fddca4c
1_kh-11352a_000053-000081	1_58519990a0364a0502db362586faac1c
1_kh-11352a_000080-000123	1_11b2c874d81f2f9ba22f2184863aa766
1_kh-1273a_000041-000074	1_590fbf2ab4b3562fd67d7aa090dcec87
1_kh-14a_000019-000051	1_6e38ceb8141cb9c9a63960d6e5a1e86e
1_kh-15o1o89a_000037-000070	1_5928efbfa9477402a0ca299d76cff6e6
1_kh-15o1o89a_000153-000183	1_59296c65402d17f5f3eb4d30d7d7a2c0
1_kh-16a_000018-000050	1_5940cea8f34f59eb351699cc711014f8
1_kh-1a_000019-000064	1_5941a2764aff40eea08fc686b8aabeb1
1_kh-1b_000031-000071	1_b86bf88fb2fee6ca753401ab8d29cf13
1_kh-21a_000042-000089	1_bc956da1d12bc486f5e4e8a273984e4b
1_kh-3118a_000065-000094	1_595906671d91a1c18ec8504232c4a216
1_kh-3118a_000093-000121	1_bd53057d96bcdbda7bffc6f31b27bba2
1_kh-316a_000057-000095	1_11b931cd95997720a9a77d33a76363b2
1_kh-32151a_000076-000115	1_5959a23bbea88a7da4f8504ff111d1e1
1_kh-32151a_000160-000199	1_59a6316c5ecf49f8725f013d15fe9866
1_kh-453o196a_000164-000196	1_59b0437d0a00fe208b56345f116b90ea
1_kh-4826177a_000257-000300	1_59b6287ed2fc25b0ee3f9b164067cf12
1_kh-79z51z2a_000171-000203	1_59c5243b64fb664fa90d872393fc59b1
1_kh-7z4z136a_000210-000241	1_be6d95d68af4bec25b72b7735f55a906
1_kh-8183926a_000043-000073	1_be7226d89a75b7b36908e1509d1f8667
1_kh-87o8281a_000229-000268	1_bf6a0037c3026ea026a2221a1b7f4a80
1_kh-9371a_000127-000162	1_c19aaf4ca1d2c33870f353f627005055
1_kh-z17z8a_000064-000095	1_59ce35ed79d46048ceb227d950ab5ca2
1_kk-12o6a_000014-000046	1_59d884d8c2686894474693b7cf17e4a0
1_kk-154o28oa_000018-000049	1_5a0da2eab3f377092fbf01f4fbe21df0
1_kk-1629a_000019-000050	1_5a21402b195bfcc59f377517ecce2624
1_kk-1776oa_000020-000049	1_5a8c49696a2536e4e814f8cdb22d7933
1_kk-1a_000025-000069	1_5b4305ff0e8e2555dc7d985f3a84ba8c
1_kk-1b_000019-000066	1_c2779af3d1743765793d88db525be4f7
1_kk-1z6a_000019-000056	1_5b47bede0988b88d8146fe14a4d71189
1_kk-221a_000070-000119	1_5b4dbff2f98c012a5c690fb8be872424
1_kk-2558221a_000227-000273	1_c39d88b6237bc999a1bee0156602d4ed
1_kk-31o9a_000049-000090	1_5ba63b10abdbed1d705cd7af81ae010a
1_kk-3485193a_000175-000213	1_5bd3ee8fff2b6e91d7e387c8a63b8505
1_kk-56146a_000095-000132	1_5c3fe34cdad68b252a2f011927f6f756
1_kk-5981126a_000148-000175	1_5ca58eb185292901cb4e47a38d366d2e
1_kk-5981126a_000174-000214	1_5d24ce3f1a00d3e66bd570d9ed08105a
1_kk-61a_000067-000117	1_5d5b18c56c523df3dc73507f77b297f8
1_kk-64175a_000091-000130	1_5d6095c65df8d581e8bda8640cf7584a
1_kk-7135za_000071-000105	1_c4e325f710215297c91300e7fc38eb75
1_kk-81a_000066-000112	1_5d858303924b0e65a7c3d7dcb6644809
1_kk-9118a_000061-000098	1_5da6393021099da95c792c636713501f
1_kk-9118a_000097-000130	1_c59d90353a59b9a972d8f8289e94b7a8
1_kk-95141o9a_000098-000140	1_5e282dac2b0f99f131279dd01a1c44db
1_kk-95141o9a_000180-000221	1_5ef8ee4c897a29c122797253bfd24116
1_kk-9o1a_000088-000135	1_5f5473b6e668ddeb9811986732696e0e
1_kn-1449a_000051-000085	4_4b1e7b7d1e9ad662e03240e0c51f5177
1_kn-1611712a_000054-000080	1_5f5bd47aa602196f9cc2ed9349ef7bcb
1_kn-1611712a_000121-000163	1_5f80359d2c704a368774874b56eab3a2
1_kn-1611712a_000184-000210	1_5f91e5bc085ed9086942150d9aa85193
1_kn-1611712a_000265-000296	1_c5fd5a8735ff56b8406c3046cb10b938
1_kn-1966a_000030-000061	1_5fa8b7d0f14ab4188f2638673219974d
1_kn-1a_000049-000090	1_5fd1bf191e2eb7e197df466265803150
1_kn-1b_000040-000078	1_c6c0f0647aaaaf3818f0f0ee74843243
1_kn-1o1a_000033-000058	1_5ffcee4eb53b3148b4f8e8ae10c56b38
1_kn-1o1a_000069-000109	1_c745714cc9c2270270c25ddc003da5f6
1_kn-1o486a_000050-000082	1_602b4d9fa3872ba8a9e3000f2017fd3d
1_kn-2132o52a_000048-000090	1_605764790bb9b4d858530c446347f9b6
1_kn-43418a_000113-000146	1_c792abdd100e06d566009d088811a472
1_kn-473112za_000162-000202	1_606c85f944a16e96bbf2aa88abace244
1_kn-473112za_000200-000235	1_c816b4c79964e2e485a10ae622040fff
1_kn-4o31a_000106-000148	1_6105cd90bb2ed5ebd89d9c9807af9b26
1_kn-5195916a_000049-000078	1_6f4cab7af28616a1696533c31911d78d
1_kn-5195916a_000210-000234	1_cc04b74ff63ec217765d8c181f0736be
1_kn-7261a_000135-000171	1_cc7fdd6aebf37e60661a6e55c7af1953
1_kn-77185a_000126-000151	1_cd7eeaa2192281f7d962a9822b2b07ce
1_kn-81z56a_000044-000082	1_61273732dc7522786a4b4f4947bbb7dd
1_kn-85814a_000148-000178	1_6150af1b86610fa0a6e6d8ad88b91dae
1_kn-o13a_000074-000101	1_ce7459f92025852c6915a494f9ea1a8d
1_kn-z91a_000096-000131	1_d13db68d6d7cd8cd665298335f9c8ae5
1_kp-12za_000046-000087	1_7062aaecadfa5dad9fd944b34a1656cc
1_kp-13a_000042-000084	1_7265c4024cf561f2db62e6959baec99c
1_kp-16a_000036-000065	1_618bf9541287231b27e207841641e273
1_kp-1a_000019-000066	1_73317e8456fa3b382bbf5fbb1074f871
1_kp-1b_000031-000077	1_74425efa57a46b9853c675c6f38eb4b6
1_kp-1z315a_000036-000069	1_7474f5c7d94a5b40faa0ca407cd41d2a
1_kp-1z315a_000150-000182	1_77c85119784a7b8e2301e682a9466446
1_kp-1z671a_000035-000073	1_11c60c3e460be0d7141de6d02674f081
1_kp-1z671a_000193-000238	1_11daa175dbba5bd42a03f1a30822aa8b
1_kp-2661a_000174-000222	1_61d3ef715a08e287a865486a931a9fb7
1_kp-31ooa_000057-000105	1_78bca70dade4a7f319c10a68fdf9773a
1_kp-41672a_000048-000085	1_78e100d0106d61a1081d3e353862d017
1_kp-51a_000092-000143	1_7b2a5f4640fe71c7d56d61e3154b5e58
1_kp-591426za_000137-000187	1_7c998db0420a6fcfaffb54c0bd70b3b5
1_kp-9419648a_000087-000133	1_7d17a88c1d4f71de38c2a3422d8f994c
1_kp-9z51a_000144-000191	1_7e19e843f53033ef24f20648fdc98523
1_kp-o1o1892a_000051-000102	1_7f2e1a03db83f7472cf3ee034c21391d
1_kp-o1o1892a_000165-000194	1_625da153d41c53ef1b7500493364ef53
1_kp-o4oo818a_000224-000263	1_7f4531d623f156633e34ae4ec088f5d9
1_kp-o612a_000133-000181	1_80524896e14407d95b1ea2c8f9932938
1_kp-z14a_000068-000103	1_82d729f7838b0c1d702bb241d60915c7
1_kt-13oo249a_000020-000045	1_d14c31eda205c60a3d7b46e077f8cd5c
1_kt-14a_000047-000073	1_d17319adeb0d08154c3cf72bf5c37774
1_kt-1713a_000038-000063	1_626101eea0b3922fc5d155afa50b0e20
1_kt-1713a_000098-000124	1_d282276b00b1b634e29e629c6c3d2bbb
1_kt-191a_000021-000048	1_62625cfb438ccb4b056ddbb67a103ec5
1_kt-191a_000074-000122	1_d2ada4fcb231d93ea9a88c9ab3120cc7
1_kt-19oa_000020-000045	1_62f70ee4b39df963d56be0cfc980a215
1_kt-1a_000020-000064	1_6322b42d0d3ee0b0c13ede0f064ced26
1_kt-1b_000020-000062	1_d3a34419953c4e37619a1f0464852dd0
1_kt-21844a_000062-000086	1_d73cb29cea8d4d3a0855d0d1a53aec53
1_kt-4z51z98a_000134-000167	1_634ffb62c5fef5d4adda47b075f28068
1_kt-61a_000067-000107	1_120a428c8d03067fbbf5048d6574689d
1_kt-699717oa_000170-000197	1_63743aef21dd9b0fafaea6e88baabf0c
1_kt-73z91z4a_000162-000189	1_d7c40294e8314f28ff248626d677a9e1
1_kt-781516za_000072-000128	1_d7d76ce64aa5f460d0ddcad228b66e57
1_kt-781516za_000176-000201	1_63af1a4e763ea6884948e687762be829
1_kt-93165a_000073-000101	1_12186ab3fccdfab42491ac55d67a8225
1_kt-94581a_000144-000190	1_121bb0232118c015b1b5be8ac0e6ccd3
1_kt-oo128a_000064-000093	1_d970035c8ce27f56ebe094ece2059f6b
1_kt-z146za_000061-000090	1_63bc1a7578b199dab66793560c762e61
